"year","rep","scenario","GEI","stage","mean_gv_tpe","mean_gv_met","var_gv_tpe","var_gv_met","acc_tpe","acc_met","met_tpe"
1,1,"Pheno","Moderate","Parents",0.0328815507142353,NA,0.592199005058918,NA,NA,NA,NA
2,1,"Pheno","Moderate","Parents",0.0796280883065884,NA,0.564883984433821,NA,NA,NA,NA
3,1,"Pheno","Moderate","Parents",0.289558969964923,NA,0.541987612265254,NA,NA,NA,NA
4,1,"Pheno","Moderate","Parents",0.292347555763636,NA,0.450221653284899,NA,NA,NA,NA
5,1,"Pheno","Moderate","Parents",0.230445382590659,NA,0.378558050804805,NA,NA,NA,NA
6,1,"Pheno","Moderate","Parents",0.252059451642168,NA,0.468783643176388,NA,NA,NA,NA
7,1,"Pheno","Moderate","Parents",0.264455014318873,NA,0.661376241662536,NA,NA,NA,NA
8,1,"Pheno","Moderate","Parents",0.232188090581152,NA,0.624628731259642,NA,NA,NA,NA
9,1,"Pheno","Moderate","Parents",0.21555650187833,NA,0.535780304745433,NA,NA,NA,NA
10,1,"Pheno","Moderate","Parents",0.290069586102192,NA,0.299806792365938,NA,NA,NA,NA
11,1,"Pheno","Moderate","Parents",0.519209166377065,NA,0.222824005743116,NA,NA,NA,NA
12,1,"Pheno","Moderate","Parents",0.512782058060298,NA,0.28959792354409,NA,NA,NA,NA
13,1,"Pheno","Moderate","Parents",0.709181824548071,NA,0.397292209992593,NA,NA,NA,NA
14,1,"Pheno","Moderate","Parents",0.681949367378879,NA,0.608988965337646,NA,NA,NA,NA
15,1,"Pheno","Moderate","Parents",0.78405517168451,NA,0.648592811692226,NA,NA,NA,NA
16,1,"Pheno","Moderate","Parents",0.665795391025363,NA,0.693769064921994,NA,NA,NA,NA
17,1,"Pheno","Moderate","Parents",0.708416102450433,NA,0.43290074066722,NA,NA,NA,NA
18,1,"Pheno","Moderate","Parents",0.745458033455263,NA,0.301851081695794,NA,NA,NA,NA
19,1,"Pheno","Moderate","Parents",0.90577686048929,NA,0.310333015519828,NA,NA,NA,NA
20,1,"Pheno","Moderate","Parents",1.0720201611819,NA,0.386334356517016,NA,NA,NA,NA
1,1,"Pheno","Moderate","HDRW",-0.00535108475078733,-0.048161955581056,0.496100557530707,1.57676200363548,0.400691575339911,0.311571497192014,0.776513221907205
2,1,"Pheno","Moderate","HDRW",-0.0397295686372545,-0.190554797154991,0.524234162675259,2.57084490939663,0.497596314558238,0.422798663943103,0.843095073720288
